x,y,z,vx,vy,vz,zv
-0.000330481219330197,0.000179485841404011,0.00697121638753882,-0.00107462549019468,0.000914303424795478,-0.0120501284840554,1
-0.000339160205755253,0.000181995186455757,0.00708765414936184,-0.000961904902288903,0.000484703994803612,-0.0120971419129143,1
-0.000350220701309019,0.000184708357039954,0.00720514479339369,-0.00108633880430685,0.000351617934530085,-0.0121853244092581,1
-0.000362517082355219,0.000189136574645348,0.00732117016209998,-0.00121352203844054,0.000423464994576001,-0.012115196065004,1
-0.000377282661172485,0.000193646368689318,0.00743719555919013,-0.00142606670230079,0.000453637388809082,-0.0120911999866345,1
-0.000389727042260264,0.000197288746842266,0.00755691046980816,-0.00133991066240811,0.000404584712003918,-0.0123355867421969,1
-0.000401846469607604,0.000198431468991868,0.00767415847287192,-0.0012881748138978,0.000216691021003977,-0.012250344190249,1
-0.000416352985280636,0.000200755931485584,0.00778969821187149,-0.00143386197600382,0.000233274114628662,-0.0121042115643301,1
-0.000430689162936867,0.000205352424662688,0.0079048204469034,-0.00147205834794332,0.00039447032623036,-0.0120256050047062,1
-0.000446103256302558,0.000213830169055634,0.00802092692043524,-0.00155890618513282,0.000715309345845653,-0.0120660924205494,1
-0.00045899721771403,0.000220416415818122,0.00813687466593277,-0.00141611956282792,0.00069563995638978,-0.0120690781555267,1
-0.000470563053124113,0.000224129972794668,0.00825233909025636,-0.00127633546980576,0.000492271135802805,-0.0120369995073221,1
-0.000479610696292003,0.00023287249090786,0.008367273639457,-0.0010561215956313,0.00076689473733539,-0.0119897376761743,1
-0.000492153294243084,0.000238111118277689,0.00848278839181234,-0.00121997449826631,0.000621041973610681,-0.01201328510566,1
-0.000504013469817607,0.000241340444118948,0.00860060847857137,-0.00122933231169665,0.000433587503930475,-0.0121791797136255,1
-0.000515434113261347,0.000240146199693466,0.00871730389425201,-0.00120244420316489,6.66470420369588e-05,-0.012158963881192,1
-0.000527980734515386,0.000244185386206888,0.00883572025854954,-0.00127030464724999,0.000299281056395747,-0.0122698742530975,1
-0.000542641146029025,0.000252824390294597,0.00895309578598684,-0.00143820621626299,0.000693739940461908,-0.0122365942008573,1
-0.000557795610751908,0.000262473571069773,0.00907206645643671,-0.00152947508050506,0.000897875935505177,-0.0123344236605928,1
-0.00056995850541244,0.000268862187096766,0.00918899690823983,-0.00135594250402653,0.000744560491548563,-0.0122282166188392,1
-0.000581412968657772,0.0002718684079733,0.00930421222446656,-0.00124806095720019,0.00046057655936274,-0.0120744205783778,1
-0.000595697312355509,0.000276868801365227,0.00942093878913625,-0.00140482755351146,0.000499879251122003,-0.0121252476880722,1
-0.000612166903061626,0.000280761396568486,0.00953967540565126,-0.00160803766146827,0.00043750245339498,-0.012280275461002,1
-0.000629400424181402,0.000286860605850847,0.00965614993073754,-0.00172986321738347,0.000567186203232683,-0.0121784784215629,1
-0.000648171367729408,0.00029432253271888,0.00977493046735713,-0.00187677183942236,0.000704834232659433,-0.0123015242215824,1
-0.000665821806738476,0.000299578828342022,0.00989230036542884,-0.00185034708466691,0.000600974300623817,-0.012247062043147,1
-0.000685191785432942,0.00030863608876828,0.0100100314582547,-0.00195898717517245,0.000825582076959427,-0.0122531590223532,1
-0.000703159919942806,0.000316817320307311,0.0101281031149276,-0.00190020808040091,0.000842484037212851,-0.0122785602535453,1
-0.000719123407594537,0.000321803474905971,0.010245749029064,-0.00174287921211621,0.000629582074953894,-0.0122580932884691,1
-0.000734063497148863,0.000323999384780438,0.0103629056259406,-0.00161898674786308,0.000365747691080992,-0.0122175744581106,1
